Question,Option_1,Option_2,Option_3,Option_4,Correct_Answer,Difficulty
Who wrote 'The Canterbury Tales'?,John Milton,William Shakespeare,Edmund Spenser,Geoffrey Chaucer,Geoffrey Chaucer,6
What is the capital of Serbia?,Belgrade,Novi Sad,Kragujevac,Nis,Belgrade,4
What is the currency of Serbia?,Kuna,Mark,Dinar,Euro,Dinar,5
Who was the first person to reach the South Pole?,Ernest Shackleton,Robert Falcon Scott,Richard Byrd,Roald Amundsen,Roald Amundsen,6
What is the capital of Slovenia?,Maribor,Celje,Ljubljana,Kranj,Ljubljana,5
What is the chemical symbol for Silicon?,Si,Sl,S,Sc,Si,2
What is the fastest fish in the ocean?,Sailfish,Marlin,Tuna,Swordfish,Sailfish,6
Who wrote 'The Iliad'?,Homer,Virgil,Sophocles,Euripides,Homer,4
What is the capital of Bosnia and Herzegovina?,Sarajevo,Banja Luka,Tuzla,Mostar,Sarajevo,4
What is the currency of Bosnia and Herzegovina?,Dinar,Kuna,Marka,Euro,Marka,6
Who painted the Night Watch?,Jan Steen,Frans Hals,Johannes Vermeer,Rembrandt,Rembrandt,6
What is the capital of North Macedonia?,Kumanovo,Bitola,Prilep,Skopje,Skopje,5
What is the chemical symbol for Argon?,A,Ag,An,Ar,Ar,3
What is the largest species of penguin?,Emperor Penguin,Gentoo Penguin,King Penguin,Adelie Penguin,Emperor Penguin,3
Who wrote 'Anna Karenina'?,Ivan Turgenev,Fyodor Dostoevsky,Leo Tolstoy,Anton Chekhov,Leo Tolstoy,5
What is the capital of Albania?,Durres,Vlore,Shkoder,Tirana,Tirana,5
What is the currency of Albania?,Dinar,Lek,Euro,Mark,Lek,6
Who was the first human to travel into space?,Yuri Gagarin,Buzz Aldrin,John Glenn,Neil Armstrong,Yuri Gagarin,3
What is the capital of Montenegro?,Podgorica,Bijelo Polje,Niksic,Pljevlja,Podgorica,6
What is the most poisonous frog in the world?,Poison Dart Frog,Red-eyed Tree Frog,Golden Poison Frog,Tomato Frog,Golden Poison Frog,6
Who wrote 'The Brothers Karamazov'?,Ivan Turgenev,Leo Tolstoy,Anton Chekhov,Fyodor Dostoevsky,Fyodor Dostoevsky,6
What is the capital of Kosovo?,Pristina,Mitrovica,Prizren,Peja,Pristina,6
What is the currency of Kosovo?,Euro,Lek,Dinar,Mark,Euro,5
Who painted the Water Lilies?,Claude Monet,Pierre-Auguste Renoir,Pablo Picasso,Vincent van Gogh,Claude Monet,4
What is the capital of Iceland?,Keflavik,Selfoss,Akureyri,Reykjavik,Reykjavik,4
What is the largest species of dolphin?,Spinner Dolphin,Common Dolphin,Bottlenose Dolphin,Orca (Killer Whale),Orca (Killer Whale),4
Who wrote 'A Tale of Two Cities'?,William Shakespeare,Jane Austen,Mark Twain,Charles Dickens,Charles Dickens,3
What is the capital of Malta?,Mdina,Gozo,Valletta,Sliema,Valletta,5
What is the currency of Malta?,Pound,Euro,Lira,Franc,Euro,4
Who was the first woman to fly solo across the Atlantic?,Jacqueline Cochran,Harriet Quimby,Amelia Earhart,Bessie Coleman,Amelia Earhart,4
What is the capital of Cyprus?,Larnaca,Paphos,Limassol,Nicosia,Nicosia,5
What is the largest species of turtle?,Loggerhead Sea Turtle,Hawksbill Sea Turtle,Green Sea Turtle,Leatherback Sea Turtle,Leatherback Sea Turtle,5
Who wrote 'The Grapes of Wrath'?,William Faulkner,F. Scott Fitzgerald,John Steinbeck,Ernest Hemingway,John Steinbeck,5
What is the capital of Luxembourg?,Dudelange,Esch-sur-Alzette,Luxembourg City,Differdange,Luxembourg City,3
What is the currency of Luxembourg?,Pound,Mark,Franc,Euro,Euro,2
Who painted the Impression Sunrise?,Claude Monet,Edgar Degas,Pierre-Auguste Renoir,Edouard Manet,Claude Monet,6
What is the capital of Monaco?,Fontvieille,La Condamine,Monaco,Monte Carlo,Monaco,4
What is the largest species of snake?,Boa Constrictor,Green Anaconda,Reticulated Python,King Cobra,Green Anaconda,5
Who wrote 'The Picture of Dorian Gray'?,Mary Shelley,Bram Stoker,Oscar Wilde,Edgar Allan Poe,Oscar Wilde,4
What is the capital of Andorra?,Andorra la Vella,Encamp,Escaldes-Engordany,Sant Julia de Loria,Andorra la Vella,6
What is the currency of Andorra?,Franc,Pound,Peseta,Euro,Euro,4
Who was the first President of South Africa elected in a fully representative democratic election?,F.W. de Klerk,Nelson Mandela,Thabo Mbeki,Jacob Zuma,Nelson Mandela,3
What is the capital of Liechtenstein?,Balzers,Schaan,Triesen,Vaduz,Vaduz,6
What is the largest species of lizard?,Iguana,Komodo Dragon,Gila Monster,Monitor Lizard,Komodo Dragon,4
Who wrote 'The Alchemist'?,Gabriel Garcia Marquez,Jorge Luis Borges,Paulo Coelho,Isabel Allende,Paulo Coelho,3
What is the capital of San Marino?,Domagnano,Borgo Maggiore,Serravalle,San Marino,San Marino,5
What is the currency of San Marino?,Pound,Euro,Franc,Lira,Euro,4
Who painted the School of Athens?,Donatello,Michelangelo,Raphael,Leonardo da Vinci,Raphael,6
What is the capital of Vatican City?,Naples,Vatican City,Rome,Milan,Vatican City,2
What is the largest species of monkey?,Chimpanzee,Gorilla,Mandrill,Baboon,Mandrill,6
Who wrote 'One Hundred Years of Solitude'?,Gabriel Garcia Marquez,Jorge Luis Borges,Paulo Coelho,Isabel Allende,Gabriel Garcia Marquez,5
What is the capital of New Zealand?,Hamilton,Wellington,Christchurch,Auckland,Wellington,4
What is the currency of New Zealand?,Pound,Euro,Dollar,Yen,Dollar,2
Who was the first Prime Minister of India?,Indira Gandhi,Rajiv Gandhi,Mahatma Gandhi,Jawaharlal Nehru,Jawaharlal Nehru,5
What is the capital of Fiji?,Suva,Nadi,Labasa,Lautoka,Suva,6
What is the chemical symbol for Mercury?,My,Mc,Me,Hg,Hg,5
What is the largest species of ray?,Eagle Ray,Manta Ray,Stingray,Electric Ray,Manta Ray,4
Who wrote 'The Little Prince'?,Jules Verne,Antoine de Saint-Exupéry,Alexandre Dumas,Victor Hugo,Antoine de Saint-Exupéry,3
What is the capital of Papua New Guinea?,Madang,Port Moresby,Lae,Mount Hagen,Port Moresby,7
What is the currency of Papua New Guinea?,Pound,Kina,Franc,Dollar,Kina,7
Who painted the American Gothic?,Edward Hopper,Grant Wood,Jackson Pollock,Andy Warhol,Grant Wood,5
What is the capital of Solomon Islands?,Honiara,Tulagi,Auki,Gizo,Honiara,8
What is the largest species of frog?,Goliath Frog,Bullfrog,Tree Frog,Poison Dart Frog,Goliath Frog,6
Who wrote 'The Handmaid's Tale'?,Margaret Atwood,Sylvia Plath,Alice Walker,Virginia Woolf,Margaret Atwood,4
What is the capital of Vanuatu?,Luganville,Isangel,Sola,Port Vila,Port Vila,8
What is the currency of Vanuatu?,Pound,Vatu,Franc,Dollar,Vatu,8
Who was the first female pilot to fly solo across the Atlantic?,Harriet Quimby,Amelia Earhart,Bessie Coleman,Jacqueline Cochran,Amelia Earhart,4
What is the capital of Samoa?,Mulifanua,Asau,Salelologa,Apia,Apia,7
What is the chemical symbol for Tin?,Ti,Ts,Tn,Sn,Sn,5
What is the largest species of bat?,Flying Fox,Brown Bat,Vampire Bat,Fruit Bat,Flying Fox,5
Who wrote 'Beloved'?,Maya Angelou,Alice Walker,Zora Neale Hurston,Toni Morrison,Toni Morrison,5
What is the capital of Tonga?,Pangai,Haveluloto,Neiafu,Nukuʻalofa,Nukuʻalofa,8
What is the currency of Tonga?,Paʻanga,Dollar,Franc,Pound,Paʻanga,8
Who painted the Creation of Adam?,Michelangelo,Raphael,Donatello,Leonardo da Vinci,Michelangelo,3
What is the capital of Tuvalu?,Funafuti,Salelologa,Asau,Mulifanua,Funafuti,9
What is the chemical symbol for Uranium?,U,Un,Ur,Um,U,3
What is the largest species of spider?,Goliath Birdeater,Huntsman Spider,Black Widow,Tarantula,Goliath Birdeater,6
Who wrote 'The Color Purple'?,Zora Neale Hurston,Alice Walker,Toni Morrison,Maya Angelou,Alice Walker,5
What is the capital of Nauru?,Yaren,Nibok,Uaboe,Denigomodu,Yaren,9
What is the currency of Nauru?,Pound,US Dollar,Euro,Australian Dollar,Australian Dollar,7
Who was the first person to orbit the Earth?,John Glenn,Buzz Aldrin,Neil Armstrong,Yuri Gagarin,Yuri Gagarin,4
What is the capital of Kiribati?,Bairiki,Betio,Tarawa,Bikenibeu,Tarawa,9
What is the chemical symbol for Platinum?,Pl,Pt,P,Pm,Pt,5
What is the largest species of crab?,Japanese Spider Crab,Snow Crab,Hermit Crab,King Crab,Japanese Spider Crab,6
Who wrote 'Things Fall Apart'?,Wole Soyinka,Chimamanda Ngozi Adichie,Chinua Achebe,Ngugi wa Thiong'o,Chinua Achebe,6
What is the capital of Marshall Islands?,Ajeltake,Majuro,Ebeye,Laura,Majuro,9
What is the currency of Marshall Islands?,Euro,Australian Dollar,Pound,US Dollar,US Dollar,7
Who painted the Son of Man?,Joan Miro,Salvador Dali,Rene Magritte,Pablo Picasso,Rene Magritte,6
What is the capital of Palau?,Koror,Ngerulmud,Airai,Meyuns,Ngerulmud,9
What is the chemical symbol for Tungsten?,Tg,W,T,Tu,W,7
What is the largest species of seal?,Leopard Seal,Harp Seal,Elephant Seal,Harbor Seal,Elephant Seal,6
Who wrote 'The Kite Runner'?,Orhan Pamuk,Yann Martel,Salman Rushdie,Khaled Hosseini,Khaled Hosseini,4
Which machine learning algorithm classifies a new data point based on the majority class of its 'k' closest data points in the feature space?,Linear Regression,Naive Bayes,K-Nearest Neighbors,Decision Trees,K-Nearest Neighbors,6
What is the standard HTTP status code for 'Not Found'?,404,200,500,403,404,2
Which internal temperature (in Fahrenheit) is generally considered optimal for a medium-rare steak before resting?,150°F,110°F,165°F,130°F,130°F,5
In Python what keyword is used to define a function?,func,function,lambda,def,def,2
Which NHL player holds the record for the most career points?,Gordie Howe,Mario Lemieux,Sidney Crosby,Wayne Gretzky,Wayne Gretzky,3
What does the 'S' in HTTPS stand for?,Secure,System,Standard,Server,Secure,1
Which JavaScript framework is primarily maintained by Facebook (Meta)?,Vue,Angular,Svelte,React,React,3
What is the process of cooking meat in a vacuum-sealed bag in a precise water bath called?,Sous-vide,Reverse Sear,Braising,Broiling,Sous-vide,4
Which data structure operates on a LIFO principle?,Linked List,Tree,Queue,Stack,Stack,4
In what year did the World Wide Web become available to the public?,1985,1989,1995,1991,1991,5
Which company developed the C# programming language?,Apple,Google,Microsoft,Sun Microsystems,Microsoft,3
What is the largest organ inside the human body?,Lungs,Heart,Stomach,Liver,Liver,4
In a standard game of poker which hand beats a Flush?,Full House,Three of a Kind,Two Pair,Straight,Full House,5
What does SQL stand for?,Standard Query Language,Simple Query Language,Structured Query Language,System Query Logic,Structured Query Language,2
Which planet in our solar system rotates on its side?,Uranus,Saturn,Neptune,Venus,Uranus,6
What is the main function of a CPU?,Connecting to the internet,Rendering graphics,Executing instructions,Storing data permanently,Executing instructions,2
Which object-oriented programming concept restricts direct access to some of an object's components?,Inheritance,Abstraction,Encapsulation,Polymorphism,Encapsulation,5
What is the freezing point of water in Kelvin?,32K,100K,273.15K,0K,273.15K,6
Which sorting algorithm repeatedly steps through the list and compares adjacent elements and swaps them if they are in the wrong order?,Bubble Sort,Quick Sort,Insertion Sort,Merge Sort,Bubble Sort,3
What is the name of the first artificial Earth satellite?,Apollo 11,Voyager 1,Sputnik 1,Hubble,Sputnik 1,3
In game development what does 'FPS' stand for regarding visual performance?,Free Play Screen,First Person Shooter,Fast Processing System,Frames Per Second,Frames Per Second,1
What is the most common gas in the universe?,Helium,Nitrogen,Hydrogen,Oxygen,Hydrogen,4
Which mathematical sequence starts with 0 and 1 and each subsequent number is the sum of the previous two?,Geometric sequence,Arithmetic sequence,Fibonacci sequence,Prime sequence,Fibonacci sequence,3
What does 'DOM' stand for in web development?,Data Object Model,Digital Object Module,Dynamic Output Method,Document Object Model,Document Object Model,4
Which bone is the longest and strongest in the human body?,Humerus,Fibula,Tibia,Femur,Femur,3
What is the capital of the US state of New York?,Albany,New York City,Syracuse,Buffalo,Albany,4
Which algorithm is commonly used to find the shortest path between nodes in a graph?,K-Means,Dijkstra's Algorithm,Binary Search,Depth-First Search,Dijkstra's Algorithm,6
What is the primary language used to style web pages?,HTML,CSS,PHP,JavaScript,CSS,1
Which theoretical concept in physics describes a point of infinite density at the center of a black hole?,Pulsar,Quasar,Event Horizon,Singularity,Singularity,7
What is the atomic number of Carbon?,8,12,14,6,6,4
